BusDate,DayofWeek,OrderID,OtotSubTotal,OrdServiceType,OrdVoidDate,OrdTaxExemptID,OrdOnlineOrderID,PmtType
6/30/2023,Friday,149,44.98,3,,,,3
6/30/2023,Friday,147,22.67,3,,,,3
6/30/2023,Friday,148,18.93,3,,,,3
6/30/2023,Friday,150,31.41,3,,,2318005452201126586,3
6/30/2023,Friday,151,16.24,1,,,,3
6/30/2023,Friday,152,56.96,2,,,,0
6/30/2023,Friday,154,8.49,3,,,2318005452214099705,3
6/30/2023,Friday,153,46.73,3,,,,3
6/30/2023,Friday,117,17.38,1,,,,0
6/30/2023,Friday,103,22.98,1,,,,0
6/30/2023,Friday,106,62.01,1,,,,0
7/1/2023,Saturday,2,73.73,1,,,,3
7/1/2023,Saturday,1,35.15,3,,,,3
7/1/2023,Saturday,3,6.98,2,,,,3
7/1/2023,Saturday,4,7.99,2,,,,0
7/1/2023,Saturday,6,35.99,3,,,2318105451210562978,3
7/1/2023,Saturday,9,24.37,1,,,2318105451245568924,3
7/1/2023,Saturday,10,11.29,1,,,2318105451254502869,3
7/1/2023,Saturday,11,7.99,2,,,,3
7/1/2023,Saturday,8,14.99,3,,,,3
7/1/2023,Saturday,13,35.24,3,,,,3
7/1/2023,Saturday,12,12.99,3,,,,0
7/1/2023,Saturday,14,66.96,1,,,,3
7/1/2023,Saturday,16,62.73,1,,,,3
7/1/2023,Saturday,18,22.98,1,,,2318105451338556519,3
7/1/2023,Saturday,19,16.49,3,,,2318105451349264716,3
7/1/2023,Saturday,20,16.58,1,,,2318105451405448323,3
7/1/2023,Saturday,22,21.67,1,,,2318105451422595203,3
7/1/2023,Saturday,21,56.26,3,,,,3
7/1/2023,Saturday,25,12.99,1,,,2318105451500178944,3
7/1/2023,Saturday,23,38.99,3,,,,0
7/1/2023,Saturday,24,7.38,3,,,,3
7/1/2023,Saturday,24,7.36,3,,,,3
7/1/2023,Saturday,24,7.38,3,,,,3
7/1/2023,Saturday,24,7.36,3,,,,3
7/1/2023,Saturday,27,29.98,1,,,2318105451507369179,3
7/1/2023,Saturday,28,32.67,1,,,2318105451512185627,3
7/1/2023,Saturday,29,53.43,1,,,2318105451523547916,3
7/1/2023,Saturday,30,19.49,3,,,2318105451526506286,3
7/1/2023,Saturday,31,33.23,1,,,2318105451534013842,3
7/1/2023,Saturday,32,27.97,3,,,2318105451538409266,3
7/1/2023,Saturday,34,54.21,1,,,2318105451600088643,3
7/1/2023,Saturday,33,31.28,3,,,,0
7/1/2023,Saturday,36,71.94,1,,,2318105451607406712,3
7/1/2023,Saturday,37,27.68,3,,,2318105451607432871,3
7/1/2023,Saturday,38,32.99,3,,,2318105451613116417,3
7/1/2023,Saturday,39,16.24,2,,,,3
7/1/2023,Saturday,40,10.99,3,,,,3
7/1/2023,Saturday,43,44.37,1,,,,3
7/1/2023,Saturday,45,15.98,1,,,2318105451657034164,3
7/1/2023,Saturday,46,28.8,1,,,2318105451700221428,3
7/1/2023,Saturday,47,34.98,3,,,2318105451705286878,3
7/1/2023,Saturday,48,36.45,1,,,,3
7/1/2023,Saturday,49,9.99,1,,,2318105451717331608,3
7/1/2023,Saturday,50,38.15,1,,,2318105451723298016,3
7/1/2023,Saturday,51,63.47,1,,,2318105451723336676,3
7/1/2023,Saturday,53,23.98,1,,,,3
7/1/2023,Saturday,54,31.98,3,,,2318105451734075360,3
7/1/2023,Saturday,56,37.74,1,,,2318105451742087056,3
7/1/2023,Saturday,52,26.99,3,,,,0
7/1/2023,Saturday,58,17.97,1,,,2318105451749583276,3
7/1/2023,Saturday,59,53.63,3,,,2318105451750045763,3
7/1/2023,Saturday,55,28.28,3,,,,3
7/1/2023,Saturday,62,40.45,1,,,2318105451756232861,3
7/1/2023,Saturday,61,6.99,2,,,,0
7/1/2023,Saturday,63,30.47,1,,,2318105451758421186,3
7/1/2023,Saturday,64,29.45,3,,,2318105451759581187,3
7/1/2023,Saturday,57,15.44,3,,,,3
7/1/2023,Saturday,66,28.71,1,,,,3
7/1/2023,Saturday,67,24.18,3,,,2318105451811098853,3
7/1/2023,Saturday,68,31.72,1,,,2318105451811224611,3
7/1/2023,Saturday,60,28.49,3,,,,3
7/1/2023,Saturday,69,51.17,3,,,2318105451813201203,3
7/1/2023,Saturday,70,19.98,3,,,2318105451813505278,3
7/1/2023,Saturday,71,39.98,1,,,,3
7/1/2023,Saturday,72,53.95,3,,,2318105451819254374,3
7/1/2023,Saturday,73,45.85,1,,,,3
7/1/2023,Saturday,74,13.79,1,,,,3
7/1/2023,Saturday,65,36.8,3,,,,0
7/1/2023,Saturday,75,15.98,3,,,,0
7/1/2023,Saturday,78,14.59,3,,,,3
7/1/2023,Saturday,76,62.51,3,,,,3
7/1/2023,Saturday,80,36.69,1,,,2318105451846485304,3
7/1/2023,Saturday,77,16.99,3,,,,0
7/1/2023,Saturday,81,15.99,3,,,,3
7/1/2023,Saturday,82,16.64,1,,,2318105451900188953,3
7/1/2023,Saturday,83,22.74,1,,,2318105451909113099,3
7/1/2023,Saturday,84,28.47,1,,,,3
7/1/2023,Saturday,85,15.98,2,,,,0
7/1/2023,Saturday,5,26.77,1,,,,0
7/1/2023,Saturday,15,42.93,1,,,,0
7/1/2023,Saturday,17,6.79,1,,,,0
7/1/2023,Saturday,35,12.99,1,,,,0
7/1/2023,Saturday,42,7.99,1,,,,0
7/1/2023,Saturday,79,15.98,1,,,,0
7/1/2023,Saturday,86,23.98,1,,,2318105451936351247,3
7/1/2023,Saturday,88,19.73,3,,,2318105451941209364,3
7/1/2023,Saturday,87,7.29,3,,,,0
7/1/2023,Saturday,89,68.66,1,,,2318105452001091367,3
7/1/2023,Saturday,91,32.96,1,,,2318105452005386357,3
7/1/2023,Saturday,92,31.98,1,,,2318105452009384776,3
7/1/2023,Saturday,93,27.99,1,,,2318105452010356193,3
7/1/2023,Saturday,90,16.98,3,,,,3
7/1/2023,Saturday,95,14.99,1,,,,3
7/1/2023,Saturday,96,16.99,3,,,,3
7/1/2023,Saturday,99,28.56,1,,,2318105452040572594,3
7/1/2023,Saturday,101,72.46,1,,,2318105452044215364,3
7/1/2023,Saturday,100,32.16,2,,,,3
7/1/2023,Saturday,102,10.58,1,,,2318105452049318510,3
7/1/2023,Saturday,98,31.06,3,,,,0
7/1/2023,Saturday,104,12.03,1,,,,3
7/1/2023,Saturday,105,35.67,1,,,,3
7/1/2023,Saturday,106,32.99,1,,,,3
7/1/2023,Saturday,44,32.99,1,,,,0
7/1/2023,Saturday,94,25.73,1,,,,0
7/1/2023,Saturday,107,26.99,1,,,2318105452156044738,3
7/1/2023,Saturday,110,22.93,1,,,2318105452210567055,3
7/1/2023,Saturday,109,7.99,3,,,,3
7/1/2023,Saturday,111,16.99,3,,,2318105452223255779,3
7/1/2023,Saturday,103,32.99,1,,,,0
7/2/2023,Sunday,1,22.42,3,,,2318205451048188805,3
7/2/2023,Sunday,5,181.88,1,,,,3
7/2/2023,Sunday,4,11.98,3,,,,0
7/2/2023,Sunday,6,33.54,1,,,,3
7/2/2023,Sunday,7,69.69,1,,,2318205451215582579,3
7/2/2023,Sunday,2,86.97,3,,,,3
7/2/2023,Sunday,9,26.99,1,,,2318205451234588845,3
7/2/2023,Sunday,8,48.48,3,,,,3
7/2/2023,Sunday,11,16.99,3,,,2318205451246135973,3
7/2/2023,Sunday,12,23.88,3,,,2318205451248464535,3
7/2/2023,Sunday,10,31.49,3,,,,3
7/2/2023,Sunday,14,27.73,1,,,2318205451301191965,3
7/2/2023,Sunday,16,29.99,1,,,,3
7/2/2023,Sunday,13,15.98,3,,,,0
7/2/2023,Sunday,18,15.68,1,,,2318205451321425104,3
7/2/2023,Sunday,17,14.93,3,,,,3
7/2/2023,Sunday,19,33.06,1,,,,3
7/2/2023,Sunday,20,10.99,1,,,,3
7/2/2023,Sunday,21,22.28,3,,,2318205451406401933,3
7/2/2023,Sunday,22,27.47,1,,,2318205451411365994,3
7/2/2023,Sunday,23,21.67,3,,,2318205451414163726,3
7/2/2023,Sunday,15,116.96,3,,,,3
7/2/2023,Sunday,24,5.99,3,,,,0
7/2/2023,Sunday,25,26.99,1,,,,3
7/2/2023,Sunday,27,7.99,2,,,,0
7/2/2023,Sunday,28,5.99,2,,,,3
7/2/2023,Sunday,29,39.49,1,,,2318205451525586812,3
7/2/2023,Sunday,30,62.1,3,,,2318205451528423542,3
7/2/2023,Sunday,31,35.97,1,,,,3
7/2/2023,Sunday,32,9.99,1,,,2318205451542445666,3
7/2/2023,Sunday,34,15.68,1,,,,3
7/2/2023,Sunday,37,49.97,1,,,,3
7/2/2023,Sunday,33,15.98,3,,,,0
7/2/2023,Sunday,38,29.62,1,,,2318205451600046507,3
7/2/2023,Sunday,39,46.96,1,,,,3
7/2/2023,Sunday,36,11.99,3,,,,0
7/2/2023,Sunday,41,25.98,1,,,2318205451615077030,3
7/2/2023,Sunday,42,36.98,3,,,2318205451617301227,3
7/2/2023,Sunday,45,27.72,1,,,2318205451626077149,3
7/2/2023,Sunday,47,38.94,3,,,,3
7/2/2023,Sunday,35,42.3,3,,,,3
7/2/2023,Sunday,48,44.65,3,,,2318205451638089065,3
7/2/2023,Sunday,43,39.97,3,,,,3
7/2/2023,Sunday,49,19.47,3,,,2318205451640307022,3
7/2/2023,Sunday,50,61.4,1,,,2318205451641379601,3
7/2/2023,Sunday,52,19.99,1,,,,3
7/2/2023,Sunday,44,53.48,3,,,,3
7/2/2023,Sunday,46,24.98,3,,,,0
7/2/2023,Sunday,55,22.98,1,,,,3
7/2/2023,Sunday,56,27.99,3,,,2318205451657023704,3
7/2/2023,Sunday,53,7.99,3,,,,3
7/2/2023,Sunday,51,10.99,3,,,,0
7/2/2023,Sunday,58,30.8,1,,,2318205451708303363,3
7/2/2023,Sunday,59,42.98,1,,,2318205451711193918,3
7/2/2023,Sunday,57,56.77,3,,,,3
7/2/2023,Sunday,61,12.98,1,,,,3
7/2/2023,Sunday,60,53.01,3,,,,0
7/2/2023,Sunday,62,23.23,1,,,2318205451735596138,3
7/2/2023,Sunday,63,31.36,1,,,2318205451736283243,3
7/2/2023,Sunday,64,28.45,1,,,2318205451739256161,3
7/2/2023,Sunday,67,18.59,1,,,,3
7/2/2023,Sunday,66,28.49,3,,,,3
7/2/2023,Sunday,68,43.73,1,,,2318205451819507735,3
7/2/2023,Sunday,71,16.99,3,,,2318205451843047440,3
7/2/2023,Sunday,75,69.83,3,,,2318205451856566801,3
7/2/2023,Sunday,76,11.99,2,,,,3
7/2/2023,Sunday,78,62.01,3,,,2318205451901213417,3
7/2/2023,Sunday,70,15.99,3,,,,3
7/2/2023,Sunday,79,13.78,3,,,2318205451901477507,3
7/2/2023,Sunday,73,45.56,3,,,,0
7/2/2023,Sunday,77,33.37,3,,,,3
7/2/2023,Sunday,80,33.48,3,,,,3
7/2/2023,Sunday,81,16.98,3,,,,3
7/2/2023,Sunday,82,13.79,3,,,,3
7/2/2023,Sunday,83,29.99,3,,,,0
7/2/2023,Sunday,84,25.97,3,,,,0
7/2/2023,Sunday,85,19.49,3,,,,3
7/2/2023,Sunday,88,9.99,2,,,,3
7/2/2023,Sunday,89,17.77,1,,,,3
7/2/2023,Sunday,87,7.99,3,,,,3
7/2/2023,Sunday,86,26.99,3,,,,3
7/2/2023,Sunday,91,42.48,1,,,,3
7/2/2023,Sunday,92,7.99,3,,,2318205452026019696,3
7/2/2023,Sunday,90,27.46,3,,,,3
7/2/2023,Sunday,93,25.67,1,,,,3
7/2/2023,Sunday,94,34.28,3,,,,3
7/2/2023,Sunday,95,7.49,3,,,,3
7/2/2023,Sunday,40,14.68,1,,,,0
7/2/2023,Sunday,54,18.73,1,,,,0
7/2/2023,Sunday,74,14.99,1,,,,0
7/2/2023,Sunday,96,26.99,1,,,,0
7/3/2023,Monday,1,74.99,3,,,,3
7/3/2023,Monday,2,7.99,3,,,,3
7/3/2023,Monday,3,29.99,3,,,2318305451117164246,3
7/3/2023,Monday,4,29.99,3,,,,3
7/3/2023,Monday,5,16.24,3,,,2318305451140399233,3
7/3/2023,Monday,6,27.45,1,,,2318305451145508962,3
7/3/2023,Monday,7,34.48,1,,,2318305451148284937,3
7/3/2023,Monday,8,12.94,3,,,,0
7/3/2023,Monday,9,25.98,1,,,,3
7/3/2023,Monday,10,18.23,3,,,2318305451311318576,3
7/3/2023,Monday,11,13.48,2,,,,3
7/3/2023,Monday,12,16.99,3,,,,0
7/3/2023,Monday,13,10.99,3,,,,3
7/3/2023,Monday,15,29.98,1,,,2318305451415362756,3
7/3/2023,Monday,14,24.37,2,,,,0
7/3/2023,Monday,16,48.66,1,,,2318305451433025441,3
7/3/2023,Monday,18,30.67,3,,,2318305451532595308,3
7/3/2023,Monday,17,19.49,2,,,,0
7/3/2023,Monday,19,22.22,1,,,2318305451534074758,3
7/3/2023,Monday,20,48.5,1,,,,3
7/3/2023,Monday,22,26.98,3,,,2318305451544446967,3
7/3/2023,Monday,21,29.99,3,,,,3
7/3/2023,Monday,23,6.47,2,,,,3
7/3/2023,Monday,25,23.24,2,,,,0
7/3/2023,Monday,26,20.48,1,,,2318305451628187452,3
7/3/2023,Monday,27,41.37,1,,,2318305451631296864,3
7/3/2023,Monday,28,65.97,3,,,,3
7/3/2023,Monday,30,33.98,1,,,,3
7/3/2023,Monday,24,14.14,3,,,,0
7/3/2023,Monday,29,8.49,3,,,,3
7/3/2023,Monday,31,19.48,3,,,,0
7/3/2023,Monday,36,39.98,3,,,2318305451720049341,3
7/3/2023,Monday,37,29.99,1,,,2318305451721524437,3
7/3/2023,Monday,40,27.99,3,,,2318305451737219698,3
7/3/2023,Monday,41,29.3,1,,,2318305451738519124,3
7/3/2023,Monday,33,6.99,3,,,,0
7/3/2023,Monday,42,50.46,1,,,2318305451746535019,3
7/3/2023,Monday,39,24.98,3,,,,3
7/3/2023,Monday,43,23.67,2,,,,3
7/3/2023,Monday,45,49.96,1,,,,3
7/3/2023,Monday,46,17.98,1,,,,3
7/3/2023,Monday,44,28.49,3,,,,3
7/3/2023,Monday,49,36.23,1,,,2318305451808161132,3
7/3/2023,Monday,47,47.94,3,,,,3
7/3/2023,Monday,53,34.17,1,,,2318305451815006493,3
7/3/2023,Monday,55,23.93,1,,,,3
7/3/2023,Monday,34,53.98,3,,,,3
7/3/2023,Monday,59,24.23,1,,,2318305451830406001,3
7/3/2023,Monday,50,42.26,3,,,,3
7/3/2023,Monday,51,29.47,3,,,,3
